[2025-10-12T01:48:29.739+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-12T01:48:29.764+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-12T01:47:00+00:00 [queued]>
[2025-10-12T01:48:29.770+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-12T01:47:00+00:00 [queued]>
[2025-10-12T01:48:29.772+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-12T01:48:29.783+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-12 01:47:00+00:00
[2025-10-12T01:48:29.793+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-12T01:47:00+00:00', '--job-id', '826', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpb9ox84km']
[2025-10-12T01:48:29.796+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=56289) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-12T01:48:29.796+0000] {standard_task_runner.py:91} INFO - Job 826: Subtask download_minio
[2025-10-12T01:48:29.797+0000] {standard_task_runner.py:64} INFO - Started process 56299 to run task
[2025-10-12T01:48:29.847+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-12T01:47:00+00:00 [running]> on host e78fd7c8819f
[2025-10-12T01:48:29.922+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-12T01:47:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-12T01:47:00+00:00'
[2025-10-12T01:48:29.923+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-12T01:48:30.397+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760097974.json -> /tmp/minio_downloads/1760097974.json
[2025-10-12T01:48:30.403+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760097983.json -> /tmp/minio_downloads/1760097983.json
[2025-10-12T01:48:30.409+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760097992.json -> /tmp/minio_downloads/1760097992.json
[2025-10-12T01:48:30.415+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098000.json -> /tmp/minio_downloads/1760098000.json
[2025-10-12T01:48:30.420+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098010.json -> /tmp/minio_downloads/1760098010.json
[2025-10-12T01:48:30.426+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098020.json -> /tmp/minio_downloads/1760098020.json
[2025-10-12T01:48:30.431+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098029.json -> /tmp/minio_downloads/1760098029.json
[2025-10-12T01:48:30.437+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098038.json -> /tmp/minio_downloads/1760098038.json
[2025-10-12T01:48:30.443+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098047.json -> /tmp/minio_downloads/1760098047.json
[2025-10-12T01:48:30.448+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098056.json -> /tmp/minio_downloads/1760098056.json
[2025-10-12T01:48:30.453+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098064.json -> /tmp/minio_downloads/1760098064.json
[2025-10-12T01:48:30.460+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098073.json -> /tmp/minio_downloads/1760098073.json
[2025-10-12T01:48:30.465+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098082.json -> /tmp/minio_downloads/1760098082.json
[2025-10-12T01:48:30.471+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098091.json -> /tmp/minio_downloads/1760098091.json
[2025-10-12T01:48:30.477+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098101.json -> /tmp/minio_downloads/1760098101.json
[2025-10-12T01:48:30.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098110.json -> /tmp/minio_downloads/1760098110.json
[2025-10-12T01:48:30.488+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098119.json -> /tmp/minio_downloads/1760098119.json
[2025-10-12T01:48:30.493+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098127.json -> /tmp/minio_downloads/1760098127.json
[2025-10-12T01:48:30.499+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098137.json -> /tmp/minio_downloads/1760098137.json
[2025-10-12T01:48:30.504+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098145.json -> /tmp/minio_downloads/1760098145.json
[2025-10-12T01:48:30.509+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098154.json -> /tmp/minio_downloads/1760098154.json
[2025-10-12T01:48:30.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760098163.json -> /tmp/minio_downloads/1760098163.json
