[2025-10-11T23:49:44.640+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-11T23:49:44.667+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-11T23:48:00+00:00 [queued]>
[2025-10-11T23:49:44.673+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-11T23:48:00+00:00 [queued]>
[2025-10-11T23:49:44.674+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-11T23:49:44.686+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-11 23:48:00+00:00
[2025-10-11T23:49:44.695+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-11T23:48:00+00:00', '--job-id', '752', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpk1c5ong5']
[2025-10-11T23:49:44.697+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=43484) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-11T23:49:44.698+0000] {standard_task_runner.py:91} INFO - Job 752: Subtask download_minio
[2025-10-11T23:49:44.698+0000] {standard_task_runner.py:64} INFO - Started process 43494 to run task
[2025-10-11T23:49:44.745+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-11T23:48:00+00:00 [running]> on host e78fd7c8819f
[2025-10-11T23:49:44.827+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-11T23:48:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-11T23:48:00+00:00'
